,f1_score,loss,val_f1_score,val_loss
0,0.4333716928958893,1.255240559577942,0.48653680086135864,1.0464377403259277
1,0.508316159248352,0.9772260189056396,0.5119938850402832,0.9488134384155273
2,0.529590904712677,0.9459536671638489,0.5257378816604614,0.9261090755462646
3,0.5406028032302856,0.9248766303062439,0.52064448595047,0.9266507029533386
4,0.5523646473884583,0.9101778864860535,0.5422717928886414,0.9122652411460876
5,0.560110867023468,0.8985866904258728,0.5474787950515747,0.9172772765159607
6,0.5635824799537659,0.8899526000022888,0.5481237769126892,0.9067244529724121
7,0.5729625225067139,0.8772006034851074,0.5633498430252075,0.8806729912757874
8,0.5788272023200989,0.8698940277099609,0.5595428347587585,0.8798554539680481
9,0.5869401097297668,0.8604112863540649,0.5660556554794312,0.8830707669258118
10,0.5866751670837402,0.8556667566299438,0.5723975896835327,0.8830910325050354
11,0.5892956852912903,0.8541101217269897,0.574600100517273,0.8834089040756226
12,0.5932141542434692,0.8480786681175232,0.5621131658554077,0.8864732980728149
13,0.5957420468330383,0.8473898768424988,0.5868967771530151,0.8609836101531982
14,0.601380467414856,0.8387994766235352,0.5730915665626526,0.8704469203948975
15,0.601462721824646,0.8334019780158997,0.5814412832260132,0.8768242001533508
16,0.6081876158714294,0.8259561657905579,0.5824910998344421,0.8615915179252625
17,0.6093394160270691,0.8231971859931946,0.576565146446228,0.8776587247848511
18,0.610115110874176,0.8212257623672485,0.5878782868385315,0.8720885515213013
