# "asas_sn_id":283469191574,"ra_deg":283.68017,"dec_deg":-10.16775,"source_number":50132,"name":"NSV 11508","variability_flag":2,"lii":24.22743618,"bii":-5.3386624,"variability_type":"CST","max_mag_type":null,"max_mag_limit":null,"max_mag":13.9,"max_mag_flag":null,"max_mag_system":"V","min_mag_type":null,"min_mag_limit":null,"min_mag":null,"min_mag_flag":null,"min_mag_system":null,"epoch":null,"epoch_flag":null,"period_limit":null,"period":null,"period_flag":null,"ref_bibcode_1":"1971afcv.book.....T","ref_bibcode_2":"2009yCat....102025S","ref_bibcode_others":"2017PASP..129j4502K","class":2900
asas_sn_id,jd,flux,flux_err,mag,mag_err,limit,fwhm,image_id,camera,quality,phot_filter
283469191574,2457071.1672697,13.033637772743976,0.193942143513411,13.672117286929046,0.016174047599574134,16.493175915505763,1.58,bd092998,bd,G,V
283469191574,2457078.1471225,13.35632534863656,0.10846542022999174,13.645563930635769,0.008827068285978831,17.124128135702954,1.42,bd094684,bd,G,V
283469191574,2457079.1449781,13.81374755454121,0.11330978357561368,13.60900261692838,0.008915959101473043,17.076687868589012,1.60,bd095079,bd,G,V
283469191574,2457080.1487401,13.26972655069122,0.19168460629405354,13.652626470895745,0.01570136597256904,16.505888300709554,1.50,bd095274,bd,B,V
283469191574,2457081.1390782,13.43440641497251,0.11967279075817458,13.639235198639241,0.00968253574972604,17.017367846542243,1.63,bd095618,bd,G,V
283469191574,2457083.1337731,13.189141964451201,0.09015482565221632,13.659240047232792,0.007429928040281604,17.32488394905809,1.64,bd095828,bd,G,V
283469191574,2457103.1200872,12.891210130623527,0.09006767973607603,13.684047185535363,0.007594294941673091,17.325933956474433,1.59,bd099898,bd,G,V
283469191574,2457104.1169496,12.98370822271191,0.07184943081836523,13.676284536479944,0.006015015592745227,17.571298063525074,1.50,bd100172,bd,G,V
283469191574,2457105.1424602,13.166239529910952,0.07853077447154029,13.661127024935759,0.006483213166154729,17.474756692448473,1.56,bd100479,bd,B,V
283469191574,2457106.1387117,13.34784579046002,0.0818103474328592,13.646253453150742,0.006662070575571561,17.43033580110044,1.46,bd100824,bd,G,V
283469191574,2457107.1357599,13.104879683961315,0.11017104621477755,13.666198809420237,0.00913790435913239,17.1071877095958,1.50,bd101170,bd,G,V
283469191574,2457109.118808,13.01837309453892,0.06919676470870677,13.67338961986045,0.005777517216412273,17.61214191989063,1.55,bd101569,bd,G,V
283469191574,2457110.1150682,12.961983422323387,0.07121673680502286,13.678102750321228,0.005972041006770813,17.580901218296802,1.48,bd101909,bd,G,V
283469191574,2457111.1154222,13.079588459281878,0.07474488599038692,13.668296205990318,0.006211544158810595,17.52840268420026,1.50,bd102256,bd,G,V
283469191574,2457112.112261,13.420462241402015,0.08639123815733896,13.640362718244363,0.006997040641904748,17.37118214780599,1.55,bd102559,bd,G,V
283469191574,2457114.0710763,13.180877903790098,0.1414850358418934,13.659920561710724,0.011667514376460434,16.835580120792166,1.78,bd103236,bd,G,V
283469191574,2457115.1224616,12.830637524147829,0.09448243561425468,13.689160814565488,0.008004146277800214,17.27397869316571,1.72,bd103616,bd,G,V
