id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,sky,peak,flux,mag,ra,dec,SIMBAD,Gaia DR3,VSX
95,3457.4096170981093,1123.277992896532,0.5687315018142233,0.9521258837225753,0.38171762478670923,25,0.0,57904.0,7.305529991875924,-2.159129320079567,208.79263083146125,40.27382541963864,Not found,Not found,Not found
96,1840.238082340771,1123.764796707443,0.36375990788711526,0.22609350531292252,0.20019517688117627,25,0.0,6416.0,1.328723759175667,-0.3085867519511689,208.35809461715107,40.155902830380484,Not found,Not found,Not found
97,3307.7332580823477,1124.0588143388077,0.5717410404982927,-0.024059178071745475,0.014551920939003768,25,0.0,11936.0,2.1309022281398358,-0.8214088087605477,208.75227962312456,40.26313065386933,Not found,Not found,Not found
98,2702.8249487484536,1125.8168942267885,0.6244281550016213,0.22051613375468448,0.139722096755292,25,0.0,9568.0,1.5939445607695675,-0.5061830301493476,208.58946471621314,40.21947860477594,Not found,Not found,Not found
99,3458.0147453958216,1125.9863614191645,0.32549641367039667,-0.9811057895832161,0.5936941207250135,25,0.0,57904.0,7.269515404369121,-2.1537636529306177,208.79253642022553,40.2744254224048,Not found,Not found,Not found
100,3472.032322653669,1131.9797022808318,0.33556284014641014,0.9062559826965007,-0.39624884194033944,25,0.0,57904.0,8.560297577576648,-2.331222155283175,208.7957398713542,40.27667202167221,Not found,Not found,Not found
101,3470.420996387666,1133.0829214886073,0.47013550767042617,-0.889028788387168,0.4005813946975735,25,0.0,57904.0,7.5499299537589195,-2.194857305948104,208.79520139028114,40.27678178964443,Not found,Not found,Not found
102,3472.8767822777754,1135.119406103366,0.3980438512087543,-0.8121763420720354,0.27863794041367473,25,0.0,57904.0,7.493892408027675,-2.1867686337788523,208.79566892922145,40.277377944023684,Not found,Not found,Not found
103,4463.692499897522,1136.9793555746448,0.4529335680495421,0.141248785935036,0.09125480842039842,25,0.0,6576.0,1.4987981685441794,-0.4393578843402917,209.0624522756212,40.34925632823662,Not found,Not found,Not found
104,330.9081738240447,1138.345366203845,0.5100677684412049,0.0480647247319826,0.18586366548002256,25,0.0,40688.0,7.408652503183894,-2.1743480625772453,207.9525389533933,40.04727650495649,Not found,Not found,Not found
105,1546.701955113703,1170.4636756625375,0.4380275533275733,0.5007394955245774,0.3643661424545333,25,0.0,22672.0,4.4816972853838255,-1.6286062973164084,208.27489184995997,40.14387591940338,Not found,Not found,Not found
106,2134.998713455214,1189.5998679402676,0.3430246967494953,0.027183546241218035,0.28969732862677644,25,0.0,29152.0,5.806397942512927,-1.909766992412524,208.43085887425002,40.19103519618125,Not found,Not found,Not found
107,1504.2656780929467,1197.8783693944226,0.46122513222901335,0.11980106824500707,0.2993111158710264,25,0.0,38032.0,7.513642552063935,-2.1896263261134914,208.2608733959595,40.14636634694969,Not found,Not found,Not found
108,2560.536864840462,1209.4972436649807,0.4380507959072695,0.0845913315201746,0.22836461692561114,25,0.0,6912.0,1.2444198585412625,-0.23741733248605884,208.54323199145088,40.226259099280824,Not found,Not found,Not found
109,519.6040294124995,1210.7830839951814,0.5205817922254022,0.17075442352537767,0.1935073288711519,25,0.0,44128.0,7.896565802237549,-2.2435956467686,207.99595823014167,40.076133739868155,Not found,Not found,Not found
110,3912.6588744476503,1217.1600791248998,0.4092799807890851,0.12651662174531386,0.21462903058133245,25,0.0,30704.0,6.101693553946922,-1.9636259805816705,208.90632385043511,40.32604248069399,Not found,Not found,Not found
111,298.8427630974077,1218.9692976979134,0.4401140502288632,-0.06945590377465265,0.1895861254487334,25,0.0,11376.0,2.480595911338282,-0.9863900588373781,207.93612606046656,40.06138836923527,Not found,Not found,Not found
112,2529.606812413627,1219.1916728399965,0.4911464642864673,0.13298713484200433,0.07378578536303933,25,0.0,14656.0,2.982976258477588,-1.1866244920598605,208.53399401299208,40.225987845922454,Not found,Not found,Not found
113,4346.017150382369,1251.7983991130097,0.30621926775138986,0.2044108203749542,0.23206475895318718,25,0.0,57904.0,11.818929788348093,-2.6814453817062307,209.0198797937165,40.36439599435366,Not found,Not found,Not found
114,754.780180745845,1256.1206043033378,0.5452036447279132,0.38635051398573866,-0.018006452729576395,25,0.0,57904.0,7.477762280991665,-2.1844291369028994,208.05448438330177,40.10287573030304,Not found,Not found,Not found
115,754.8566700850068,1257.3392729416412,0.3875087722175337,-0.509851183540289,0.22503533763997619,25,0.0,57904.0,6.693376921408849,-2.0641132048510653,208.05438666157738,40.1031309030294,Not found,Not found,Not found
116,754.2805988235282,1257.7348355761749,0.40485388702529185,-0.2375337753328841,-0.4528892388192106,25,0.0,57904.0,6.884899253645002,-2.0947439740799716,208.0541941067998,40.10316915333425,Not found,Not found,Not found
117,4202.902934915769,1302.7100374360434,0.4461666838810096,0.13313704348800048,0.10118677325412186,25,0.0,7888.0,1.6177866333160924,-0.5223031070290011,208.9764699958462,40.36455498835962,Not found,Not found,Not found
118,594.9959649642308,1308.4385431679011,0.4822129435865294,0.05948800021111303,0.35788743832917064,25,0.0,19024.0,3.7132297932014535,-1.42437956592246,208.0066438074224,40.10172413298419,Not found,Not found,Not found
119,2602.8633297151196,1318.15465571279,0.3571311701987842,-0.2168828351590162,-0.5907971180721778,25,0.0,57904.0,7.687824893199972,-2.2145087069480915,208.54420803237755,40.25164127291925,Not found,Not found,Not found
120,2715.2566848809906,1316.8276868228677,0.4233496073036467,0.01599575168459149,0.22122609433825824,25,0.0,35456.0,7.374304273695498,-2.169302633033082,208.57454835176247,40.259575755144084,Not found,Not found,Not found
121,2602.255602620581,1318.9395003457612,0.4330152290643106,-0.7514791258454522,0.35349063360873634,25,0.0,57904.0,7.2775575798230605,-2.154964125624252,208.5439695604853,40.25175788040487,Not found,Not found,Not found
122,2603.3195244553,1319.2799993438714,0.49433719455765635,0.6804173530258104,0.9629508190780471,25,0.0,55600.0,6.9387227889069285,-2.103198843004093,208.54422293676046,40.25190545362819,Not found,Not found,Not found
123,4030.0403085815437,1320.447453488913,0.35848264381157496,-0.010260422595152597,0.3391581187870075,25,0.0,4208.0,1.081359541267475,-0.08492529137489971,208.92818008823613,40.35573549035206,Not found,1497132450135409024,Gaia DR3 1497132450135409024
124,4077.577789116345,1325.7150053609746,0.3859039502027525,0.3824834254666025,0.38348055514577256,25,0.0,5888.0,1.3178847119054795,-0.29969354997497744,208.94049832875874,40.36024736943406,Not found,Not found,Not found
